study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,math_score,reading_score,writing_score,science_score,final_exam_score,previous_gpa,study_environment_Moderate,study_environment_Noisy,study_environment_Quiet,parental_education_Bachelor,parental_education_High School,parental_education_Master,parental_education_PhD,family_income_High,family_income_Low,family_income_Medium,grade_category_A,grade_category_B,grade_category_C,grade_category_D,grade_category_F,tutoring_Yes,pass_fail_Pass,gender_Male,internet_access_Yes
2.43,100.0,6.54,2.9,80.2,63.1,2,46.8,44.7,40.0,39.1,43.9,1.46,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True
2.23,93.6,8.8,0.6,100.0,69.9,1,64.1,46.1,61.9,45.1,53.9,1.82,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True
0.62,100.0,6.51,2.5,100.0,77.6,2,34.2,30.8,59.0,52.4,42.9,1.92,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True
4.4,90.6,7.31,3.6,77.4,53.0,2,55.1,45.1,39.6,47.4,45.1,2.08,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,True
4.26,85.8,6.33,4.4,84.5,67.3,3,65.6,64.9,65.3,53.0,60.1,2.35,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True
6.51,88.6,7.49,2.0,100.0,56.2,2,88.0,79.0,72.0,63.3,75.4,2.96,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True
2.6,96.2,7.51,3.4,62.4,46.7,2,43.9,44.3,34.7,40.7,39.9,1.47,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
2.2,100.0,7.89,2.5,84.5,100.0,3,68.6,75.5,65.9,64.8,66.1,2.42,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
0.96,88.0,6.87,0.0,74.7,60.2,0,43.8,32.2,32.0,36.2,34.9,1.24,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
4.15,78.8,8.27,0.3,100.0,79.4,0,58.1,72.2,61.9,55.2,63.2,2.4,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True
3.88,94.2,7.3,3.8,88.0,100.0,1,48.9,65.5,49.9,65.3,53.5,2.29,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,True
4.86,76.5,6.36,4.2,53.9,60.5,1,55.3,28.0,45.9,52.7,48.0,2.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
1.9,88.9,6.36,0.0,73.8,51.1,4,51.8,52.9,43.9,33.1,45.7,1.69,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False
3.86,91.8,7.73,3.0,100.0,96.4,3,60.9,73.1,60.8,75.5,67.6,2.72,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True
2.37,83.9,8.26,2.9,93.4,56.0,1,39.6,46.4,26.1,28.7,39.3,1.2,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
4.61,76.0,5.88,1.3,64.4,63.8,0,62.5,65.5,70.5,47.4,59.2,2.42,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True
3.64,80.5,7.75,1.3,65.3,61.4,4,43.8,45.7,47.2,44.2,45.0,1.46,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.13,81.8,5.51,0.9,81.2,72.3,3,42.3,25.6,30.8,26.6,30.6,0.93,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
2.84,74.5,6.38,0.0,79.2,42.7,2,49.5,55.3,49.3,53.1,49.2,2.67,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0.66,81.1,7.49,0.9,76.1,79.3,3,46.3,41.1,34.9,35.3,43.1,1.68,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1.6,70.5,6.15,3.5,74.0,77.0,1,31.5,26.4,43.2,15.3,32.1,1.61,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True
1.68,90.9,8.47,2.0,71.2,83.0,1,32.5,47.6,44.3,47.0,42.6,1.68,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
2.23,88.3,7.61,3.6,100.0,82.7,4,31.0,47.2,54.8,35.2,44.3,1.76,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True
2.68,87.7,5.82,0.0,74.5,76.8,2,69.0,70.4,61.7,73.4,70.3,2.81,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True
3.2,81.1,7.66,3.2,70.1,65.4,3,40.3,46.8,41.7,43.6,42.1,1.58,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True
3.14,82.5,5.68,3.7,87.6,70.9,5,55.3,45.1,60.1,60.6,55.7,2.6,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True
2.97,76.7,7.0,0.0,78.5,60.2,1,53.5,47.3,42.4,44.4,46.6,1.87,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True
3.4,90.1,7.88,1.7,66.2,72.9,1,39.0,39.3,46.1,61.5,47.8,2.13,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True
1.5,71.4,7.71,3.0,76.2,58.1,2,28.5,26.2,27.2,12.8,24.7,0.58,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
3.09,85.8,6.91,4.5,79.1,72.1,4,47.8,40.3,45.4,39.9,45.4,1.89,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
4.72,78.7,6.66,0.4,86.5,63.4,3,84.7,82.8,67.6,86.0,80.5,3.06,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True
2.8,100.0,5.84,4.6,84.7,57.7,1,41.1,30.3,36.2,37.8,32.6,1.28,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
3.59,90.3,7.18,3.2,64.8,85.8,2,50.5,54.6,57.5,55.8,55.6,2.32,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
3.48,85.0,7.8,1.0,89.1,81.9,0,84.9,69.9,70.0,73.1,77.1,2.66,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True
4.03,73.9,9.06,4.0,93.4,70.9,3,75.7,73.4,64.2,59.0,69.7,2.76,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
3.34,71.4,6.54,6.0,63.9,43.9,2,58.7,59.9,59.2,39.0,54.3,2.45,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True
4.01,90.0,7.85,2.0,68.3,56.8,3,70.9,58.6,56.2,56.8,64.8,2.56,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True
3.61,100.0,7.76,1.9,77.4,68.8,0,34.9,51.0,44.1,41.3,39.3,1.38,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True
3.79,89.1,6.52,1.1,83.3,77.1,1,87.8,88.4,67.3,91.3,85.9,3.19,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,True
3.53,86.8,7.72,5.3,83.9,77.3,1,38.5,57.2,56.8,66.4,54.5,2.05,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True
1.79,86.9,6.18,1.4,79.4,73.5,1,53.5,41.0,47.3,35.2,42.8,1.36,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1.6,86.0,7.26,1.0,58.5,70.5,4,47.1,40.9,28.9,35.7,40.5,1.22,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True
2.58,87.0,6.79,1.6,95.2,66.8,0,88.0,67.2,72.0,63.6,75.1,3.33,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True
4.86,78.1,7.44,1.6,65.1,60.6,3,54.5,52.6,60.8,44.8,54.2,2.42,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True
2.79,75.3,7.52,1.6,100.0,94.8,2,73.1,54.5,75.8,75.3,75.8,2.4,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
3.37,86.1,6.47,1.3,97.5,85.5,2,46.9,47.8,44.2,57.3,52.0,1.97,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True
0.64,99.9,6.99,1.4,63.3,78.7,3,20.7,13.9,18.6,38.3,22.9,0.54,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
3.23,92.8,6.87,2.7,85.3,53.0,5,45.8,57.9,52.2,53.4,47.4,2.36,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True
3.1,72.7,5.91,4.5,100.0,52.3,2,46.0,41.2,54.4,44.0,50.6,2.37,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True
0.5,82.4,6.63,1.0,88.8,69.5,4,25.3,17.1,39.8,38.9,27.4,1.39,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
3.35,92.3,6.42,0.5,54.5,62.3,2,27.6,38.2,38.7,42.0,37.8,1.33,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
1.02,100.0,5.87,3.0,79.4,52.9,1,60.3,57.9,49.7,53.6,53.4,1.88,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False
2.13,100.0,6.2,3.3,92.5,71.6,2,45.7,32.1,55.2,42.5,45.7,1.58,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
4.19,82.9,6.74,4.8,100.0,41.7,3,41.7,43.3,59.7,33.7,48.8,2.4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
3.19,93.2,7.06,4.6,78.0,68.6,4,39.7,40.9,43.8,45.5,42.3,1.53,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
2.46,87.5,5.76,0.1,55.0,77.6,2,31.8,44.7,53.3,50.6,44.0,1.98,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
2.36,83.8,8.2,0.0,100.0,77.2,0,54.3,36.2,54.9,66.3,52.7,2.05,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True
2.5,85.6,7.61,3.3,78.2,42.9,3,47.0,44.2,46.4,51.1,47.3,2.38,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
3.19,85.7,6.91,3.3,100.0,42.2,1,42.3,41.2,46.4,41.3,45.0,1.88,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.56,96.8,5.78,4.7,76.1,66.8,1,47.0,38.6,40.6,50.3,42.9,1.43,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
4.35,71.0,6.79,3.1,88.2,60.5,6,58.0,54.3,44.9,44.7,49.2,2.24,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1.62,89.7,6.73,1.7,69.7,51.7,3,31.7,29.7,42.3,43.5,35.4,1.12,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0.93,100.0,5.92,4.1,70.0,37.7,2,25.6,46.3,31.9,33.5,36.0,1.57,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True
4.19,99.3,5.84,0.9,100.0,56.8,5,75.5,71.6,67.9,74.1,69.6,2.62,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,True,True
2.48,90.7,7.77,5.5,94.1,68.5,3,19.3,30.3,26.6,34.5,31.3,1.16,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
3.08,77.4,6.68,2.9,79.6,66.5,0,64.8,68.5,58.1,70.0,60.8,2.59,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True
3.79,92.8,7.89,1.4,94.0,52.0,0,48.7,59.4,57.6,58.0,58.6,2.28,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,True
2.14,98.2,6.99,1.2,69.8,55.0,2,50.7,33.0,41.2,42.3,39.3,1.52,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
3.16,79.8,7.75,2.8,80.0,64.9,1,65.0,59.5,59.0,43.9,55.9,2.64,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True
3.78,88.6,7.72,2.4,81.5,57.6,3,44.5,44.9,56.2,52.9,52.1,1.99,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True
4.97,82.9,7.47,2.3,68.6,74.8,2,66.5,57.6,60.8,56.0,62.9,3.0,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True
2.39,78.9,8.18,0.5,66.7,78.4,2,41.3,43.6,51.6,43.8,44.2,1.62,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
2.44,81.8,7.1,2.3,51.7,76.8,1,48.2,36.5,36.8,36.1,36.3,1.6,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True
3.68,86.3,5.51,3.7,65.5,53.6,0,42.4,35.3,33.4,27.2,34.0,1.42,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
3.25,75.8,5.66,1.4,100.0,75.0,3,70.2,57.1,66.1,55.5,60.3,2.59,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True
2.84,74.2,6.35,2.9,53.3,75.4,2,0.7,30.5,6.3,18.6,12.6,0.23,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
4.91,76.1,7.74,4.2,79.5,92.3,3,57.0,57.7,59.4,61.6,61.0,2.6,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True
0.98,88.3,6.6,3.4,82.3,99.6,2,38.1,27.5,49.6,32.1,37.2,1.65,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True
1.29,70.3,7.21,0.7,76.3,88.6,2,51.7,53.4,36.0,55.6,47.9,2.19,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0.99,62.8,7.54,3.0,93.1,63.1,2,48.7,44.6,49.1,43.8,45.3,1.91,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True
4.44,98.7,7.16,4.7,75.9,58.4,3,56.8,57.8,55.0,61.4,58.0,2.84,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True
3.62,74.9,4.71,3.2,94.3,67.0,3,53.4,51.0,52.3,37.7,51.9,1.97,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True
1.36,83.1,5.81,4.3,88.2,61.4,2,21.5,37.0,37.4,47.1,36.0,1.17,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True
2.85,94.2,8.77,4.0,59.7,100.0,3,49.9,58.2,54.1,50.8,52.9,1.78,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True
2.97,70.6,7.33,0.8,97.4,84.3,3,52.0,64.4,67.5,56.6,59.8,2.56,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True
0.5,70.6,4.3,5.2,75.3,79.3,2,32.4,32.1,33.5,29.4,26.9,0.9,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True
3.23,78.7,7.07,4.4,53.1,82.0,1,44.6,51.3,47.4,48.7,49.5,2.31,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
1.59,94.6,8.8,2.1,87.1,90.6,1,45.4,28.7,47.0,55.8,42.8,1.76,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True
3.85,84.8,7.27,4.4,75.7,79.3,1,69.9,49.7,72.9,79.1,68.7,3.38,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
1.62,84.9,7.04,2.3,100.0,67.1,0,54.3,39.8,35.6,46.3,43.9,1.74,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
3.26,82.0,5.17,2.4,96.4,81.1,2,40.4,64.7,48.0,51.1,52.8,1.59,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,True
4.55,90.6,6.73,1.2,66.5,81.0,3,49.6,53.7,49.4,62.1,52.0,1.93,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
4.17,99.3,5.36,0.9,94.2,53.2,2,63.6,50.4,65.5,57.9,59.5,1.91,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True
3.61,100.0,5.78,2.7,69.6,100.0,1,68.0,46.9,54.2,64.6,63.2,2.56,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True
2.9,83.5,5.55,2.1,55.1,60.8,1,49.3,36.8,44.4,57.4,48.2,2.04,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True
1.2,100.0,8.74,0.3,70.8,93.1,3,36.3,40.7,47.3,53.3,45.5,1.24,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
2.47,95.0,7.73,3.0,60.1,67.6,2,47.5,59.9,35.6,34.7,43.6,2.32,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
2.73,87.7,8.4,3.3,79.8,87.4,1,35.7,39.5,41.0,38.4,40.7,1.36,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2.64,62.9,5.68,2.9,100.0,70.8,2,41.0,40.3,43.9,23.9,37.2,1.64,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True
1.16,81.2,7.19,2.9,81.2,48.4,1,35.4,44.5,30.8,29.5,36.6,1.44,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
3.52,81.6,5.99,3.1,86.9,86.0,3,46.3,77.2,53.1,62.9,63.0,2.86,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
1.58,88.6,6.1,2.7,65.0,92.1,1,37.4,40.1,47.3,33.6,42.2,1.73,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
4.86,83.0,7.47,3.0,71.9,69.9,0,67.3,59.0,74.6,74.0,70.6,2.67,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True
3.18,79.4,7.18,3.3,88.2,82.9,4,64.8,66.0,50.9,57.9,60.3,2.15,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
4.18,100.0,7.29,1.6,79.0,59.6,3,45.9,65.5,51.0,46.5,52.6,1.6,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
4.15,98.1,5.74,0.6,69.2,70.9,3,90.5,85.4,74.9,85.8,84.4,3.58,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True
5.49,64.8,7.13,3.0,95.0,86.6,1,68.7,86.3,77.4,72.5,78.1,2.86,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True
3.22,82.2,7.35,2.7,82.1,75.7,0,45.5,50.0,44.4,47.9,45.3,2.21,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
2.53,91.3,6.32,3.2,100.0,77.7,3,41.6,43.0,37.9,42.9,42.6,1.86,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True
2.56,98.3,6.73,4.2,89.9,85.4,1,42.9,32.0,40.2,48.0,45.0,1.68,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,True
4.8,80.8,5.35,2.4,63.0,95.3,3,56.6,65.4,64.3,75.9,63.9,2.97,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True
1.42,82.8,4.84,2.3,81.7,87.0,0,32.7,48.8,39.4,38.8,37.6,1.49,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True
1.95,85.9,9.01,3.2,61.9,75.0,1,45.0,46.2,39.2,56.5,48.8,1.59,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True
3.28,91.6,7.2,1.0,100.0,69.8,1,71.5,68.4,65.8,63.6,68.8,2.4,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True
2.82,69.6,6.64,2.6,65.2,72.9,3,63.9,41.8,33.8,48.3,48.1,1.75,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True
4.16,64.8,7.8,2.3,96.7,50.7,1,48.7,60.2,62.1,55.4,58.4,2.42,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True
